CPU_Single,CPU_multi,CPU_Quad,GPU_Performance ,SSD_Performance,RAM Performance,Gaming preferences,Office Preferences,Server Preferences
125,368,331,63,55.5,37.1,2,1,3
106,299,304,28,65.9,40.1,2,1,3
174,806,1486,209,238,95.5,2,1,3
250,1303,4271,396,458,128,2,1,3
120,467,675,80.2,87.1,84.7,2,1,3
186,792,1102,131,306,95.9,2,1,3
175,775,1562,108,94.5,95.3,2,1,3
242,1246,3709,381,440,173,2,1,1
126,155,198,389,460,157,1,1,1
98,91,70,211,230,110,1,1,1
257,1367,3969,248,507,193,1,1,1
104,338,793,66.3,168,50.2,1,1,1
195,783,1157,179,510,74.1,1,1,1
144,610,1205,103,179,79.8,1,1,1
153,624,991,128,113,77.7,1,1,1
227,1060,2781,350,346,107,1,1,1
186,806,1133,199,260,68.5,1,1,1
152,590,713,93.5,203,104,1,1,1
246,1165,1971,147,756,183,1,1,1
97.1,108,195,5.02,57.3,30.6,1,1,1
265,1354,3811,55.3,449,198,1,1,1
204,698,831,83.1,299,105,1,1,1
86,485,1010,10.2,111,64.9,1,1,1
128,413,428,5.99,116,66,1,1,1
266,1392,4393,315,619,152,1,1,1
198,796,1100,141,285,97,1,1,1
199,831,1116,124,228,90.9,1,1,1
96.5,525,910,8.57,198,55.7,1,1,1
169,705,1441,100,364,96.9,1,1,1
226,1154,2791,222,270,133,1,1,1
75.4,164,188,1.19,38.3,24,1,1,1
145,688,1839,183,276,64.9,1,1,1
137,683,1209,106,116,71.7,1,1,1
186,793,1404,141,207,80.9,1,1,1
149,586,681,123,162,107,1,1,1
166,678,1105,98.9,139,95.8,1,1,1
183,852,1566,182,259,95.6,1,1,1
194,1024,1640,52.2,487,104,1,1,1
200,828,1416,223,247,96.4,1,1,1
159,645,977,75,277,78.9,1,1,1
197,919,1583,89.9,172,67.2,1,1,1
160,533,645,123,190,80.9,1,1,3
195,909,1431,136,47.6,67.2,1,1,3
92.2,186,184,1.19,34.6,23.4,1,1,3
215,959,1803,249,451,197,1,1,3
149,596,654,88.4,101,86.6,1,1,3
231,1128,1810,92,290,189,1,1,3
234,967,1491,7.97,269,94.6,1,1,3
180,824,1460,154,131,80,1,1,3
262,1362,4396,411,605,202,1,1,3
65.8,134,130,2.77,127,35.2,1,1,3
119,463,676,77.9,92.3,85.3,1,1,3
201,777,1501,41,289,155,1,1,3
118,541,982,85.7,88.8,111,1,1,3
227,953,1408,103,254,149,1,1,3
56.1,98.8,99.6,44.2,86.5,26.5,1,1,3
194,886,1538,196,116,118,1,1,3
164,717,1106,15.4,118,64.4,1,3,3
233,1227,2972,301,594,132,1,3,3
173,768,1476,116,102,67,1,3,3
